case_name,swarm_size,w,c1,c2,max_iterations,seed,best_weighted,makespan,total_cost,runtime
single_small,40,0.5,1.7,1.7,250,1124,263.4966645019972,263.4966645019972,0.0,735.5627057552338
single_small,40,0.5,1.7,1.7,250,1125,264.4604554865424,264.4604554865424,0.0,29.522199153900146
single_small,40,0.5,2.2,2.2,80,1126,271.6860572843516,271.6860572843516,0.0,12.582669734954834
single_small,40,0.5,2.2,2.2,80,1127,267.04896845045386,267.04896845045386,0.0,9.399119853973389
single_small,40,0.5,2.2,2.2,80,1128,273.57418339236517,273.57418339236517,0.0,9.463588953018188
single_small,40,0.5,2.2,2.2,150,1129,267.23152845373255,267.23152845373255,0.0,18.05230212211609
single_small,40,0.5,2.2,2.2,150,1130,281.83148951278577,281.83148951278577,0.0,18.55282974243164
single_small,40,0.5,2.2,2.2,150,1131,276.33871499176274,276.33871499176274,0.0,31.217620849609375
single_small,40,0.5,2.2,2.2,250,1132,270.0256252684442,270.0256252684442,0.0,34.140668869018555
single_small,40,0.5,2.2,2.2,250,1133,268.7346648868826,268.7346648868826,0.0,31.155576944351196
single_small,40,0.5,2.2,2.2,250,1134,268.2060959018037,268.2060959018037,0.0,35.298075914382935
single_small,40,0.8,1.2,1.2,80,1135,266.7393682025149,266.7393682025149,0.0,9.776987791061401
single_small,40,0.8,1.2,1.2,80,1136,268.24913166458833,268.24913166458833,0.0,9.357754945755005
single_small,40,0.8,1.2,1.2,80,1137,264.6652856521219,264.6652856521219,0.0,9.416531801223755
single_small,40,0.8,1.2,1.2,150,1138,266.0258508310276,266.0258508310276,0.0,17.2272469997406
single_small,40,0.8,1.2,1.2,150,1139,263.24848807856154,263.24848807856154,0.0,17.912538766860962
single_small,40,0.8,1.2,1.2,150,1140,262.3949066978843,262.3949066978843,0.0,18.321873903274536
single_small,40,0.8,1.2,1.2,250,1141,266.18268204369747,266.18268204369747,0.0,29.521739959716797
single_small,40,0.8,1.2,1.2,250,1142,263.5502796155523,263.5502796155523,0.0,28.894426822662354
single_small,40,0.8,1.2,1.2,250,1143,265.0741814170385,265.0741814170385,0.0,30.14694571495056
single_small,40,0.8,1.7,1.7,80,1144,266.8523816077011,266.8523816077011,0.0,9.467213153839111
single_small,40,0.8,1.7,1.7,80,1145,268.15172099384546,268.15172099384546,0.0,9.296234846115112
single_small,40,0.8,1.7,1.7,80,1146,285.98719673197627,285.98719673197627,0.0,15.477874994277954
single_small,40,0.8,1.7,1.7,150,1147,271.7200929277649,271.7200929277649,0.0,17.41771388053894
single_small,40,0.8,1.7,1.7,150,1148,279.2174891996706,279.2174891996706,0.0,28.305912971496582
single_small,40,0.8,1.7,1.7,150,1149,280.395381504159,280.395381504159,0.0,17.509906768798828
single_small,40,0.8,1.7,1.7,250,1150,264.08595414767757,264.08595414767757,0.0,29.684836864471436
single_small,40,0.8,1.7,1.7,250,1151,265.16412117620916,265.16412117620916,0.0,30.789266347885132
single_small,40,0.8,1.7,1.7,250,1152,263.32324774462177,263.32324774462177,0.0,29.909942865371704
single_small,40,0.8,2.2,2.2,80,1153,271.0857142857143,271.0857142857143,0.0,8.946557760238647
single_small,40,0.8,2.2,2.2,80,1154,298.998585572843,298.998585572843,0.0,12.396025896072388
single_small,40,0.8,2.2,2.2,80,1155,274.71469194312795,274.71469194312795,0.0,13.350669860839844
single_small,40,0.8,2.2,2.2,150,1156,271.5826086956522,271.5826086956522,0.0,17.116150856018066
single_small,40,0.8,2.2,2.2,150,1157,272.99909502262443,272.99909502262443,0.0,17.59156823158264
single_small,40,0.8,2.2,2.2,150,1158,286.66091800224,286.66091800224,0.0,18.490198135375977
single_small,40,0.8,2.2,2.2,250,1159,268.8341739916208,268.8341739916208,0.0,29.901443243026733
single_small,40,0.8,2.2,2.2,250,1160,264.21568251941693,264.21568251941693,0.0,28.721068859100342
single_small,40,0.8,2.2,2.2,250,1161,272.99909502262443,272.99909502262443,0.0,27.97564387321472
single_small,80,0.3,1.2,1.2,80,1162,260.07110380548704,260.07110380548704,0.0,24.266233921051025
